Event,Station_sizes,Altitude [m],Start Date/Time,End Date/Time,Start Latitude,Start Longitude,End Latitude,End Longitude,OMF_pol,OMF_tot,CCHO_µg_per_m3,SS_µg_per_m3,OC_µg_per_m3,OM_µg_per_m3,OMF_FAA,OMF_WSOC,OMF_FFA,FAA_µg_per_m3,FFA_µg_per_m3,PG_µg_per_m3,OMF_PG,FFA_PG_µg_per_m3,OMF_FFA_PG,OMF_CAA,CAA_µg_per_m3
PI-ICE_0.05_10,PI-ICE_0.05_10,18,2019-01-25T02:54:00,2019-01-27T15:30:00,-64.93,-63.31,-67.58,-68.13,0.00223963,0.05930524,0.00697157,3.10584509,0.09790259,0.195805173,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,18,2019-01-28T05:01:00,2019-01-31T05:04:00,-67.78,-68.85,-62.58,-59.73,0.0017984,0.0521409,0.00415431,2.30584992,0.06342139,0.126842779,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,18,2019-02-03T20:03:00,2019-02-06T13:58:00,-62.97,-60.68,-62.2,-58.94,0.00135919,0.03919604,0.01131773,8.31549416,0.16961545,0.339230908,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,4,2019-02-21T19:26:00,2019-02-24T23:00:00,-62.66,-60.39,-62.66,-60.39,0.00145172,0.03941882,0.00090014,0.61914724,0.0127038,0.025407593,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,4,2019-02-25T19:45:00,2019-03-01T12:00:00,-62.66,-60.39,-62.66,-60.39,0.00137057,0.04360608,0.0024012,1.74957271,0.03988524,0.079770486,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,4,2019-03-02T14:00:00,2019-03-05T12:00:00,-62.66,-60.39,-62.66,-60.39,,,,0.42490806,,,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,4,2019-03-05T14:00:00,2019-03-08T13:00:00,-62.66,-60.39,-62.66,-60.39,0.00220626,0.06617632,0.00264796,1.19755182,0.04243283,0.084865665,,,,,,,,,,,
PI-ICE_0.05_10,PI-ICE_0.05_10,4,2019-03-08T13:00:00,2019-03-11T20:00:00,-62.66,-60.39,-62.66,-60.39,0.0002305,0.00654721,0.00023587,1.02306192,0.00337117,0.006742342,,,,,,,,,,,
PASCAL_0.05_1.2,PASCAL_0.05_1.2,25,2017-05-24T20:49,2017-05-26T16:34,54.939725,6.886633,61.889917,3.22857,0.00944394,0.53300497,0.00325951,0.34188393,0.19510468,0.390209357,,,,,,,,,,,
PASCAL_0.05_1.2,PASCAL_0.05_1.2,25,2017-05-26T19:34,2017-05-29T11:33,62.379708,3.415684,72.69095,5.644328,0.00259058,0.18748381,0.0025488,0.98132348,0.1132176,0.226435196,,,,,,,,,,,
PASCAL_0.05_1.2,PASCAL_0.05_1.2,25,2017-05-29T12:46,2017-06-01T08:28,72.691753,5.644524,80.318428,7.904032,0.00218256,0.33405802,0.00104597,0.47819212,0.11993831,0.239876628,,,,,,,,,,,
PASCAL_0.14_1.2,PASCAL_0.14_1.2,25,2017-05-24T20:49,2017-05-26T16:34,54.939725,6.886633,61.889917,3.22857,0.007510735,0.484805806,0.002587232,0.341883925,0.160859064327699,0.321718129,,,,,,,,,,,
PASCAL_0.14_1.2,PASCAL_0.14_1.2,25,2017-05-26T19:34,2017-05-29T11:33,62.379708,3.415684,72.69095,5.644328,0.00307144,0.206929328,0.002090712,0.678603784,0.0885312177725736,0.177062436,,,,,,,,,,,
PASCAL_0.14_1.2,PASCAL_0.14_1.2,25,2017-05-29T12:46,2017-06-01T08:28,72.691753,5.644524,80.318428,7.904032,0.001026056,0.262742912,0.000491156,0.478192125,0.0852088051164565,0.17041761,,,,,,,,,,,
PASCAL_1.2_10,PASCAL_1.2_10,25,2017-05-24T20:49,2017-05-26T16:34,54.939725,6.886633,61.889917,3.22857,0.00099182,0.17418959,0.00116209,1.17050902,0.12344873,0.246897455,,,,,,,,,,,
PASCAL_1.2_10,PASCAL_1.2_10,25,2017-05-26T19:34,2017-05-29T11:33,62.379708,3.415684,72.69095,5.644328,0.00039596,0.08968261,0.00060114,1.51758085,0.07475448,0.149508964,,,,,,,,,,,
PASCAL_1.2_10,PASCAL_1.2_10,25,2017-05-29T12:46,2017-06-01T08:28,72.691753,5.644524,80.318428,7.904032,0.00033407,0.0385777,0.00055075,1.64808208,0.03306518,0.066130368,,,,,,,,,,,
PASCAL_0.05_10,PASCAL_0.05_10,25,2017-05-24T20:49,2017-05-26T16:34,54.939725,6.886633,61.889917,3.22857,0.00291506,0.29639771,0.0044216,1.51239294,0.31855341,0.637106812,,,,,,,,,,,
PASCAL_0.05_10,PASCAL_0.05_10,25,2017-05-26T19:34,2017-05-29T11:33,62.379708,3.415684,72.69095,5.644328,0.00125894,0.13077008,0.00314994,2.49890433,0.18797208,0.37594416,,,,,,,,,,,
PASCAL_0.05_10,PASCAL_0.05_10,25,2017-05-29T12:46,2017-06-01T08:28,72.691753,5.644524,80.318428,7.904032,0.00075038,0.1258107,0.00159672,2.12627421,0.1530035,0.306006995,,,,,,,,,,,
CVAO_PM1_924,CVAO_PM1,30,2017-09-19T20:00:00,2017-09-20T20:00:00,16.8636111,-24.867222,16.8636111,-24.867222,0.00284686,0.449707836,0.00140441,0.49191371,0.201,0.402,,,,,,,,,,,
CVAO_PM1_926,CVAO_PM1,30,2017-09-22T15:00:00,2017-09-23T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,0.00155687,,0.00049442,0.31707579,,,,,,,,,,,,,
CVAO_PM1_927,CVAO_PM1,30,2017-09-23T15:00:00,2017-09-24T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,0.00870065,0.659197434,0.00153374,0.17474471,0.169,0.338,,,,,,,,,,,
CVAO_PM1_928,CVAO_PM1,30,2017-09-24T15:00:00,2017-09-25T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,0.00863887,,0.00314439,0.3608377,,,,,,,,,,,,,
CVAO_PM1_934,CVAO_PM1,30,2017-09-30T15:00:00,2017-10-01T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,0.00038795,0.84623225,0.00019737,0.50855163,0.15,0.3,,,,,,,,,,,
CVAO_PM1_937,CVAO_PM1,30,2017-10-02T15:00:00,2017-10-03T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,0.00141643,,0.00057492,0.40531849,,,,,,,,,,,,,
CVAO_PM1_946,CVAO_PM1,30,2017-10-09T15:00:00,2017-10-10T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,0.00055741,,0.00014473,0.25950392,,,,,,,,,,,,,
CVAO_PM1_922,CVAO_PM1,30,2017-09-17T20:00:00,2017-09-18T20:00:00,16.8636111,-24.867222,16.8636111,-24.867222,,0.355545093,,1.123801313,0.31,0.62,,,,,,,,,,,
CVAO_PM1_923,CVAO_PM1,30,2017-09-18T20:00:00,2017-09-19T20:00:00,16.8636111,-24.867222,16.8636111,-24.867222,,0.42782958,,0.732883851,0.274,0.548,,,,,,,,,,,
CVAO_PM1_929,CVAO_PM1,30,2017-09-25T15:00:00,2017-09-26T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,,0.514122826,,0.381804441,0.202,0.404,,,,,,,,,,,
CVAO_PM1_932,CVAO_PM1,30,2017-09-28T15:00:00,2017-09-29T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,,0.372112021,,0.438714326,0.13,0.26,,,,,,,,,,,
CVAO_PM1_933,CVAO_PM1,30,2017-09-29T15:00:00,2017-09-30T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,,0.314205699,,0.5674834,0.13,0.26,,,,,,,,,,,
CVAO_PM1_934,CVAO_PM1,30,2017-09-30T15:00:00,2017-10-01T15:00:00,16.8636111,-24.867222,16.8636111,-24.867222,,0.371033822,,0.508551625,0.15,0.3,,,,,,,,,,,
PM1_920,CVAO_PM1,,2017-09-15T15:00,2017-09-16T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,,,,,,,,,,,,,,0.004524
PM1_923,CVAO_PM1,,2017-09-18T15:00,2017-09-19T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.732883851,,,,,,,,,,,,0.003620436,0.002663
PM1_927,CVAO_PM1,,2017-09-23T15:00,2017-09-24T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.174744714,,,,,,,,,,,,0.026647548,0.004784
PM1_930,CVAO_PM1,,2017-09-26T15:00,2017-09-27T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.172647498,,,,,,,,,,,,0.006056437,0.001052
PM1_932,CVAO_PM1,,2017-09-28T15:00,2017-09-29T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.438714326,,,,,,,,,,,,0.006170737,0.002724
PM1_940,CVAO_PM1,,2017-10-05T15:00,2017-10-06T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.338882913,,,,,,,,,,,,0.003798046,0.001292
PM1_942,CVAO_PM1,,2017-10-07T15:00,2017-10-08T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.442571355,,,,,,,,,,,,0.006231105,0.002775
CVAO_0.05-1.2 µm,CVAO_0.05-1.2 µm,,2017-09-19T16:30,2017-09-20T15:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,1.1068605,,,0.00138038,0.07783863,,0.00153,,,,,,,
CVAO_0.05-1.2 µm,CVAO_0.05-1.2 µm,,2017-09-21T15:00,2017-09-22T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.74737014,,,0.00402457,0.09191589,,0.00302,,,,,,,
CVAO_0.05-1.2 µm,CVAO_0.05-1.2 µm,,2017-09-27T15:30,2017-09-28T16:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.29173473,,,0.00829439,0.08313856,,0.00244,,,,,,,
CVAO_0.05-1.2 µm,CVAO_0.05-1.2 µm,,2017-09-30T17:05,2017-10-01T14:15,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.73181967,,,0.00175963,0.06162339,,0.00129,,,,,,,
CVAO_0.05-1.2 µm,CVAO_0.05-1.2 µm,,2017-10-03T15:45,2017-10-04T14:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.60849396,,,0.00818237,0.10761404,,0.00502,,,,,,,
CVAO_0.05-1.2 µm,CVAO_0.05-1.2 µm,,2017-10-05T16:10,2017-10-06T14:54,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.43613198,,,0.00658281,0.10335934,,0.00289,,,,,,,
CVAO_0.05-1.2 µm,CVAO_0.05-1.2 µm,,2017-10-06T16:00,2017-10-07T15:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.45282587,,,0.01376469,0.06583018,,0.00632,,,,,,,
CVAO_0.05-1.2 µm,CVAO_PM1,,2017-10-09T18:13,2017-10-10T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.10757922,,,0.02800887,0.4374978,,0.0031,,,,,,,
CVAO_0.14-1.2 µm,CVAO_PM1,,2017-09-19T16:30,2017-09-20T15:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,1.020875531,,,0.001164309,0.050733037,,0.00119,,,,,,,
CVAO_0.14-1.2 µm,CVAO_PM1,,2017-09-21T15:00,2017-09-22T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.724795818,,,0.003588093,0.08316952,,0.00261,,,,,,,
CVAO_0.14-1.2 µm,CVAO_PM1,,2017-09-27T15:30,2017-09-28T16:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.279712512,,,0.006711588,0.08348616,,0.00189,,,,,,,
CVAO_0.14-1.2 µm,CVAO_PM1,,2017-09-30T17:05,2017-10-01T14:15,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.731819667,,,0.001759628,0.061623394,,0.00129,,,,,,,
CVAO_0.14-1.2 µm,CVAO_PM1,,2017-10-03T15:45,2017-10-04T14:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.534563868,,,0.007685113,0.086044309,,0.00414,,,,,,,
CVAO_0.14-1.2 µm,CVAO_PM1,,2017-10-05T16:10,2017-10-06T14:54,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.436131983,,,0.006356483,0.103359344,,0.00279,,,,,,,
CVAO_0.14-1.2 µm,CVAO_PM1,,2017-10-06T16:00,2017-10-07T15:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.447337471,,,0.00980593,0.066584074,,0.00443,,,,,,,
CVAO_0.14-1.2 µm,CVAO_PM1,,2017-10-09T18:13,2017-10-10T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.08850049,,,0.028646537,0.442807818,,0.00261,,,,,,,
CVAO_PM1,CVAO_PM1,,2017-09-19T20:00,2017-09-20T20:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.49211171,,,,,0.03727985,,0.02058984,,,0.020589836,0.0401595,,
CVAO_PM2,CVAO_PM1,,2017-09-24T15:00,2017-09-25T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.36098293,,,,,0.02703702,,0.02931119,,,0.029311189,0.07510026,,
CVAO_PM3,CVAO_PM1,,2017-09-25T15:00,2017-09-26T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.38195812,,,,,0.10749624,,0.03068084,0.16073262,0.0403819,0.191413461,0.10905708,,
CVAO_PM4,CVAO_PM1,,2017-09-26T15:00,2017-09-27T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.17271699,,,,,0.22984499,,0.02171245,0.31149755,0.15279469,0.33321,0.23433989,,
CVAO_PM5,CVAO_PM1,,2017-09-27T15:00,2017-09-28T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.13865848,,,,,0.07424816,,0.01984263,,,0.01984263,0.12518922,,
CVAO_PM6,CVAO_PM1,,2017-10-01T15:00,2017-10-02T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.37345401,,,,,,,0.03393409,,,0.033934094,0.08329672,,
CVAO_PM7,CVAO_PM1,,2017-10-02T15:00,2017-10-03T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.40548163,,,,,,,0.00869123,,,0.00869123,0.02098455,,
CVAO_PM8,CVAO_PM1,,2017-10-03T15:00,2017-10-04T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.32678455,,,,,,,0.010223,,,0.010222999,0.03033463,,
CVAO_PM9,CVAO_PM1,,2017-10-04T15:00,2017-10-05T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.20705524,,,,,0.05477168,,0.01680769,,,0.016807693,0.07508028,,
CVAO_PM10,CVAO_PM1,,2017-10-05T15:00,2017-10-06T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.33901931,,,,,0.04650805,,0.00982222,,,0.009822219,0.02815668,,
CVAO_PM11,CVAO_PM1,,2017-10-06T15:00,2017-10-07T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.35854848,,,,,0.01874391,,0.0193122,0.00176287,0.00049143,0.021075069,0.05155179,,
CVAO_PM12,CVAO_PM1,,2017-10-08T15:00,2017-10-09T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.47935046,,,,,0.01316828,,0.01398778,0.01968576,0.00408996,0.033673541,0.03221509,,
CVAO_PM13,CVAO_PM1,,2017-10-09T15:00,2017-10-10T15:00,16.8636111,-24.867222,16.8636111,-24.867222,,,,0.25960837,,,,,0.02495217,,0.00611977,0.00370883,0.00142659,0.009828597,0.02439186,,
CVAO_0.05-10 µm,CVAO_0.05-10 µm,,2017-09-19T16:30,2017-09-20T15:30,16.8636111,-24.867222,16.8636111,-24.867222,,,,13.8584123,,,,,,,,,,,,,
CVAO_0.05-10 µm,CVAO_0.05-10 µm,,2017-09-19T16:31,2017-09-20T15:31,16.8636111,-24.867222,16.8636111,-24.867222,,,,12.0012741,,,,,,,,,,,,,
CVAO_0.05-10 µm,CVAO_0.05-10 µm,,2017-09-19T16:32,2017-09-20T15:32,16.8636111,-24.867222,16.8636111,-24.867222,,,,5.09771317,,,,,,,,,,,,,
CVAO_0.05-10 µm,CVAO_0.05-10 µm,,2017-09-19T16:33,2017-09-20T15:33,16.8636111,-24.867222,16.8636111,-24.867222,,,,11.8673309,,,,,,,,,,,,,
CVAO_0.05-10 µm,CVAO_0.05-10 µm,,2017-09-19T16:34,2017-09-20T15:34,16.8636111,-24.867222,16.8636111,-24.867222,,,,8.37987586,,,,,,,,,,,,,
CVAO_0.05-10 µm,CVAO_0.05-10 µm,,2017-09-19T16:35,2017-09-20T15:35,16.8636111,-24.867222,16.8636111,-24.867222,,,,7.79202875,,,,,,,,,,,,,
CVAO_0.05-10 µm,CVAO_0.05-10 µm,,2017-09-19T16:36,2017-09-20T15:36,16.8636111,-24.867222,16.8636111,-24.867222,,,,9.14756615,,,,,,,,,,,,,
CVAO_0.05-10 µm,CVAO_0.05-10 µm,,2017-09-19T16:37,2017-09-20T15:37,16.8636111,-24.867222,16.8636111,-24.867222,,,,6.64919961,,,,,,,,,,,,,
Sval_0-1.5µm_15,Sval_0-1.5µm_15,,2015-04-24T00:00,2015-05-04T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.12747986,,,0.00202556,,,0.000258742,,,,,,,
Sval_0-1.5µm_15,Sval_0-1.5µm_15,,2015-05-04T00:00,2015-05-14T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.07885094,,,0.00729593,,,0.000579519,,,,,,,
Sval_0-1.5µm_15,Sval_0-1.5µm_15,,2015-05-14T00:00,2015-05-24T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.11720596,,,0.00252906,,,0.000297172,,,,,,,
Sval_0-1.5µm_15,Sval_0-1.5µm_15,,2015-05-24T00:00,2015-06-03T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.0739754,,,0.00612633,,,0.000455991,,,,,,,
Sval_0-1.5µm_15,Sval_0-1.5µm_15,,2015-06-03T00:00,2015-06-13T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.06866986,,,0.00130065,,,0.0000894321,,,,,,,
Sval_0.95-1.5µm_15,Sval_0.95-1.5µm_15,,2015-04-24T00:00,2015-05-04T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.082942145,,,,,,,,,,,,0.009000317,0.000770207
Sval_0.95-1.5µm_15,Sval_0.95-1.5µm_15,,2015-05-04T00:00,2015-05-14T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.169453763,,,,,,,,,,,,0.005136265,0.00032173
Sval_0.95-1.5µm_15,Sval_0.95-1.5µm_15,,2015-05-14T00:00,2015-05-24T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.084805316,,,,,,,,,,,,0.002984961,0.000301159
Sval_0.95-1.5µm_15,Sval_0.95-1.5µm_15,,2015-05-24T00:00,2015-06-03T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.062317151,,,,,,,,,,,,0.002267105,0.000136316
Sval_0.95-1.5µm_15,Sval_0.95-1.5µm_15,,2015-06-03T00:00,2015-06-13T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.100590908,,,,,,,,,,,,0.001163867,0.000068217
Sval_0-1.5µm_14,Sval_0-1.5µm_14,50,2014-04-02T00:00,2014-04-08T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.059991353,,,0.00084655,,,0.000310984,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-04-08T00:00,2014-04-14T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.058544185,,,0.00257337,,,0.000373548,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-04-14T00:00,2014-04-20T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.45279835,,,0.00148811,,,0.000674816,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-04-20T00:00,2014-04-23T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.26567201,,,0.00360355,,,0.000960824,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-04-23T00:00,2014-04-24T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.12707327,,,0.00366542,,,0.000467491,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-04-24T00:00,2014-04-30T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.13208424,,,0.00599218,,,0.000796243,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-04-30T00:00,2014-05-06T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.09724101,,,0.0037219,,,0.000363274,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-05-06T00:00,2014-05-12T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.19303894,,,0.0027573,,,0.000533738,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-05-12T00:00,2014-05-18T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.12315043,,,0.00270941,,,0.000334571,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-05-18T00:00,2014-05-24T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.1001347,,,0.00210215,,,0.000210941,,,,,,,
Sval_0-1.5µm_14,Sval_0-1.5µm_14,,2014-05-24T00:00,2014-05-30T00:00,78.9175,11.89417,78.9175,11.89417,,,,0.18087033,,,0.00244159,,,0.000442693,,,,,,,
